id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2021-14995,2021-04-30,000001,Vente,603000,88,,AV DU COL D IZOARD,0180,05100,05023,Briançon,05,,,050230000C1286,,,,,,,,,,,,,0,3,Dépendance,,0,P,prés,,,1239,6.642806,44.892687
2021-14995,2021-04-30,000001,Vente,603000,88,,AV DU COL D IZOARD,0180,05100,05023,Briançon,05,,,050230000C1286,,,,,,,,,,,,,0,2,Appartement,140,4,S,sols,,,450,6.642806,44.892687
2021-14995,2021-04-30,000001,Vente,603000,88,,AV DU COL D IZOARD,0180,05100,05023,Briançon,05,,,050230000C1286,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,450,6.642806,44.892687
2021-14995,2021-04-30,000001,Vente,603000,88,,AV DU COL D IZOARD,0180,05100,05023,Briançon,05,,,050230000C1286,,,,,,,,,,,,,0,2,Appartement,140,4,P,prés,,,1239,6.642806,44.892687
2021-14995,2021-04-30,000001,Vente,603000,,,SARE,B256,05100,05023,Briançon,05,,,050230000C1552,,,,,,,,,,,,,0,,,,,P,prés,,,250,6.642578,44.892557
2021-14996,2021-05-07,000001,Vente,219001,9999,,RUE DES ORCHIDEES,1531,05000,05061,Gap,05,,,05061000BW0841,,,10,12.49,,,,,,,,,1,3,Dépendance,,0,,,,,,6.050604,44.545743
2021-14996,2021-05-07,000001,Vente,219001,9999,,RUE DES ORCHIDEES,1531,05000,05061,Gap,05,,,05061000BW0841,,,11,16.05,,,,,,,,,1,3,Dépendance,,0,,,,,,6.050604,44.545743
2021-14996,2021-05-07,000001,Vente,219001,9999,,RUE DES ORCHIDEES,1531,05000,05061,Gap,05,,,05061000BW0841,,,19,67.41,,,,,,,,,1,2,Appartement,68,3,,,,,,6.050604,44.545743
2021-14997,2021-05-25,000001,Vente,245900,,,LAUCHE,B122,05250,05139,Dévoluy,05,,,051390000M0692,,,,,,,,,,,,,0,,,,,S,sols,,,23,5.92181,44.705277
2021-14997,2021-05-25,000001,Vente,245900,,,LAUCHE,B122,05250,05139,Dévoluy,05,,,051390000M0694,,,,,,,,,,,,,0,,,,,S,sols,,,360,5.921512,44.705505
2021-14997,2021-05-25,000001,Vente,245900,,,LAUCHE,B122,05250,05139,Dévoluy,05,,,051390000M0694,,,,,,,,,,,,,0,,,,,L,landes,,,2927,5.921512,44.705505
2021-14997,2021-05-25,000001,Vente,245900,5364,,LE COURTIL,B076,05250,05139,Dévoluy,05,,,051390000M0696,,,,,,,,,,,,,0,1,Maison,115,4,S,sols,,,700,5.921714,44.705107
2021-14998,2021-05-12,000001,Vente,107000,5633,,MERLETTE,B202,05170,05096,Orcières,05,,,050960000C1558,,,1155,,,,,,,,,,1,4,Local industriel. commercial ou assimilé,12,0,,,,,,6.323503,44.697832
2021-14998,2021-05-12,000001,Vente,107000,5633,,MERLETTE,B202,05170,05096,Orcières,05,,,050960000C1558,,,1176,,1217,,,,,,,,2,4,Local industriel. commercial ou assimilé,41,0,,,,,,6.323503,44.697832
2021-14999,2021-05-03,000001,Vente,353800,4,A,RUE GUYNEMER,1130,05000,05061,Gap,05,,,05061000DH0059,,,2,,,,,,,,,,1,3,Dépendance,,0,,,,,,6.07312,44.559836
2021-14999,2021-05-03,000001,Vente,353800,4,A,RUE GUYNEMER,1130,05000,05061,Gap,05,,,05061000DH0059,,,1,,,,,,,,,,1,2,Appartement,67,2,,,,,,6.07312,44.559836
